"Notes"	"States"	"States Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"California"	"06"	"< 1 year"	"1"	"2016"	"2016"	489662
	"California"	"06"	"< 1 year"	"1"	"2017"	"2017"	482794
	"California"	"06"	"< 1 year"	"1"	"2018"	"2018"	462041
	"California"	"06"	"< 1 year"	"1"	"2019"	"2019"	451885
	"California"	"06"	"< 1 year"	"1"	"2020"	"2020"	446864
	"California"	"06"	"1-4 years"	"1-4"	"2016"	"2016"	1997199
	"California"	"06"	"1-4 years"	"1-4"	"2017"	"2017"	1984689
	"California"	"06"	"1-4 years"	"1-4"	"2018"	"2018"	1963062
	"California"	"06"	"1-4 years"	"1-4"	"2019"	"2019"	1918685
	"California"	"06"	"1-4 years"	"1-4"	"2020"	"2020"	1863516
	"California"	"06"	"5-9 years"	"5-9"	"2016"	"2016"	2537093
	"California"	"06"	"5-9 years"	"5-9"	"2017"	"2017"	2513348
	"California"	"06"	"5-9 years"	"5-9"	"2018"	"2018"	2490201
	"California"	"06"	"5-9 years"	"5-9"	"2019"	"2019"	2480357
	"California"	"06"	"5-9 years"	"5-9"	"2020"	"2020"	2468600
	"California"	"06"	"10-14 years"	"10-14"	"2016"	"2016"	2520568
	"California"	"06"	"10-14 years"	"10-14"	"2017"	"2017"	2539886
	"California"	"06"	"10-14 years"	"10-14"	"2018"	"2018"	2547817
	"California"	"06"	"10-14 years"	"10-14"	"2019"	"2019"	2528498
	"California"	"06"	"10-14 years"	"10-14"	"2020"	"2020"	2505304
	"California"	"06"	"15-19 years"	"15-19"	"2016"	"2016"	2579327
	"California"	"06"	"15-19 years"	"15-19"	"2017"	"2017"	2555320
	"California"	"06"	"15-19 years"	"15-19"	"2018"	"2018"	2543076
	"California"	"06"	"15-19 years"	"15-19"	"2019"	"2019"	2532005
	"California"	"06"	"15-19 years"	"15-19"	"2020"	"2020"	2513522
	"California"	"06"	"20-24 years"	"20-24"	"2016"	"2016"	2806808
	"California"	"06"	"20-24 years"	"20-24"	"2017"	"2017"	2750235
	"California"	"06"	"20-24 years"	"20-24"	"2018"	"2018"	2698781
	"California"	"06"	"20-24 years"	"20-24"	"2019"	"2019"	2639873
	"California"	"06"	"20-24 years"	"20-24"	"2020"	"2020"	2597931
	"California"	"06"	"25-29 years"	"25-29"	"2016"	"2016"	3074167
	"California"	"06"	"25-29 years"	"25-29"	"2017"	"2017"	3122056
	"California"	"06"	"25-29 years"	"25-29"	"2018"	"2018"	3122924
	"California"	"06"	"25-29 years"	"25-29"	"2019"	"2019"	3092545
	"California"	"06"	"25-29 years"	"25-29"	"2020"	"2020"	3011714
	"California"	"06"	"30-34 years"	"30-34"	"2016"	"2016"	2862267
	"California"	"06"	"30-34 years"	"30-34"	"2017"	"2017"	2882778
	"California"	"06"	"30-34 years"	"30-34"	"2018"	"2018"	2913176
	"California"	"06"	"30-34 years"	"30-34"	"2019"	"2019"	2954993
	"California"	"06"	"30-34 years"	"30-34"	"2020"	"2020"	3005343
	"California"	"06"	"35-39 years"	"35-39"	"2016"	"2016"	2648440
	"California"	"06"	"35-39 years"	"35-39"	"2017"	"2017"	2700615
	"California"	"06"	"35-39 years"	"35-39"	"2018"	"2018"	2749890
	"California"	"06"	"35-39 years"	"35-39"	"2019"	"2019"	2776974
	"California"	"06"	"35-39 years"	"35-39"	"2020"	"2020"	2781508
	"California"	"06"	"40-44 years"	"40-44"	"2016"	"2016"	2498772
	"California"	"06"	"40-44 years"	"40-44"	"2017"	"2017"	2489386
	"California"	"06"	"40-44 years"	"40-44"	"2018"	"2018"	2489933
	"California"	"06"	"40-44 years"	"40-44"	"2019"	"2019"	2496802
	"California"	"06"	"40-44 years"	"40-44"	"2020"	"2020"	2524241
	"California"	"06"	"45-49 years"	"45-49"	"2016"	"2016"	2586790
	"California"	"06"	"45-49 years"	"45-49"	"2017"	"2017"	2582988
	"California"	"06"	"45-49 years"	"45-49"	"2018"	"2018"	2555567
	"California"	"06"	"45-49 years"	"45-49"	"2019"	"2019"	2510078
	"California"	"06"	"45-49 years"	"45-49"	"2020"	"2020"	2452996
	"California"	"06"	"50-54 years"	"50-54"	"2016"	"2016"	2573671
	"California"	"06"	"50-54 years"	"50-54"	"2017"	"2017"	2531978
	"California"	"06"	"50-54 years"	"50-54"	"2018"	"2018"	2492046
	"California"	"06"	"50-54 years"	"50-54"	"2019"	"2019"	2458499
	"California"	"06"	"50-54 years"	"50-54"	"2020"	"2020"	2457952
	"California"	"06"	"55-59 years"	"55-59"	"2016"	"2016"	2503271
	"California"	"06"	"55-59 years"	"55-59"	"2017"	"2017"	2508821
	"California"	"06"	"55-59 years"	"55-59"	"2018"	"2018"	2509460
	"California"	"06"	"55-59 years"	"55-59"	"2019"	"2019"	2503819
	"California"	"06"	"55-59 years"	"55-59"	"2020"	"2020"	2466381
	"California"	"06"	"60-64 years "	"60-64"	"2016"	"2016"	2162377
	"California"	"06"	"60-64 years "	"60-64"	"2017"	"2017"	2216421
	"California"	"06"	"60-64 years "	"60-64"	"2018"	"2018"	2253633
	"California"	"06"	"60-64 years "	"60-64"	"2019"	"2019"	2273197
	"California"	"06"	"60-64 years "	"60-64"	"2020"	"2020"	2296040
	"California"	"06"	"65-69 years"	"65-69"	"2016"	"2016"	1807255
	"California"	"06"	"65-69 years"	"65-69"	"2017"	"2017"	1813150
	"California"	"06"	"65-69 years"	"65-69"	"2018"	"2018"	1843661
	"California"	"06"	"65-69 years"	"65-69"	"2019"	"2019"	1881969
	"California"	"06"	"65-69 years"	"65-69"	"2020"	"2020"	1918055
	"California"	"06"	"70-74 years"	"70-74"	"2016"	"2016"	1258389
	"California"	"06"	"70-74 years"	"70-74"	"2017"	"2017"	1362501
	"California"	"06"	"70-74 years"	"70-74"	"2018"	"2018"	1426370
	"California"	"06"	"70-74 years"	"70-74"	"2019"	"2019"	1491188
	"California"	"06"	"70-74 years"	"70-74"	"2020"	"2020"	1551490
	"California"	"06"	"75-79 years"	"75-79"	"2016"	"2016"	891536
	"California"	"06"	"75-79 years"	"75-79"	"2017"	"2017"	925884
	"California"	"06"	"75-79 years"	"75-79"	"2018"	"2018"	974384
	"California"	"06"	"75-79 years"	"75-79"	"2019"	"2019"	1014672
	"California"	"06"	"75-79 years"	"75-79"	"2020"	"2020"	1052210
	"California"	"06"	"80-84 years"	"80-84"	"2016"	"2016"	634585
	"California"	"06"	"80-84 years"	"80-84"	"2017"	"2017"	646733
	"California"	"06"	"80-84 years"	"80-84"	"2018"	"2018"	663417
	"California"	"06"	"80-84 years"	"80-84"	"2019"	"2019"	682562
	"California"	"06"	"80-84 years"	"80-84"	"2020"	"2020"	698039
	"California"	"06"	"85+ years"	"85+"	"2016"	"2016"	717009
	"California"	"06"	"85+ years"	"85+"	"2017"	"2017"	728202
	"California"	"06"	"85+ years"	"85+"	"2018"	"2018"	738024
	"California"	"06"	"85+ years"	"85+"	"2019"	"2019"	749009
	"California"	"06"	"85+ years"	"85+"	"2020"	"2020"	756372
	"Colorado"	"08"	"< 1 year"	"1"	"2016"	"2016"	66518
	"Colorado"	"08"	"< 1 year"	"1"	"2017"	"2017"	65306
	"Colorado"	"08"	"< 1 year"	"1"	"2018"	"2018"	63895
	"Colorado"	"08"	"< 1 year"	"1"	"2019"	"2019"	63035
	"Colorado"	"08"	"< 1 year"	"1"	"2020"	"2020"	63076
	"Colorado"	"08"	"1-4 years"	"1-4"	"2016"	"2016"	269147
	"Colorado"	"08"	"1-4 years"	"1-4"	"2017"	"2017"	269193
	"Colorado"	"08"	"1-4 years"	"1-4"	"2018"	"2018"	270075
	"Colorado"	"08"	"1-4 years"	"1-4"	"2019"	"2019"	266190
	"Colorado"	"08"	"1-4 years"	"1-4"	"2020"	"2020"	261507
	"Colorado"	"08"	"5-9 years"	"5-9"	"2016"	"2016"	355451
	"Colorado"	"08"	"5-9 years"	"5-9"	"2017"	"2017"	351573
	"Colorado"	"08"	"5-9 years"	"5-9"	"2018"	"2018"	349040
	"Colorado"	"08"	"5-9 years"	"5-9"	"2019"	"2019"	346980
