,M0,S0,I1,R1,S1,I2,R2,S2,I3,R3,S3,I4,R4,Mn1,Mn2,Mv1,Mv2,N1,N2,Si,Vs1,Vs2
<2m,0.64,0.33,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2-3m,0.41,0.49,0.00,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4-5m,0.26,0.55,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6-7m,0.16,0.56,0.00,0.13,0.13,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8-9m,0.10,0.55,0.00,0.16,0.17,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10-11m,0.07,0.52,0.00,0.17,0.20,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1Y,0.01,0.35,0.00,0.15,0.29,0.00,0.06,0.10,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2-4Y,0.00,0.11,0.00,0.06,0.22,0.00,0.07,0.20,0.00,0.08,0.22,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5-9Y,0.00,0.01,0.00,0.02,0.04,0.00,0.04,0.08,0.00,0.10,0.51,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10-19Y,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.62,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20-39Y,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40-64Y,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65-74Y,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75+Y,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
